,index,context,question0,question1,question2,question3,answer0,answer1,answer2,answer3
0,0," Among the vast varieties of microorganisms, relatively few cause disease in otherwise healthy individuals. Infectious disease results from the interplay between those few pathogens and the defenses of the hosts they infect. The appearance and severity of disease resulting from any pathogen, depends upon the ability of that pathogen to damage the host as well as the ability of the host to resist the pathogen. However a host's immune system can also cause damage to the host itself in an attempt to control the infection. Clinicians therefore classify infectious microorganisms or microbes according to the status of host defenses - either as primary pathogens or as opportunistic pathogens:","Of the huge amount of microorganisms, how many cause disease in otherwise healthy individuals?",Interplay between pathogens and defenses of hosts results in what?,What does the severity of a disease resulting from a pathogen depend on?,What can a host's immune system do to a host?,relatively few,Infectious disease,ability of that pathogen to damage the host,cause damage
1,1," Argentina: The torch relay leg in Buenos Aires, Argentina, held on April 11, began with an artistic show at the Lola Mora amphitheatre in Costanera Sur. In the end of the show the mayor of Buenos Aires Mauricio Macri gave the torch to the first torchbearer, Carlos EspÃ­nola. The leg finished at the Buenos Aires Riding Club in the Palermo district, the last torchbearer being Gabriela Sabatini. The 13.8 km route included landmarks like the obelisk and Plaza de Mayo. The day was marked by several pro-Tibet protests, which included a giant banner reading ""Free Tibet"", and an alternative ""human rights torch"" that was lit by protesters and paraded along the route the flame was to take. Most of these protests were peaceful in nature, and the torch was not impeded. Chinese immigrants also turned out in support of the Games, but only minor scuffles were reported between both groups. Runners surrounded by rows of security carried the Olympic flame past thousands of jubilant Argentines in the most trouble-free torch relay in nearly a week. People showered the parade route with confetti as banks, government offices and businesses took an impromptu half-day holiday for the only Latin American stop on the flame's five-continent journey.",When did the Olympic torch relay begin in Buenos Aires?,Where did the torch route start in Buenos Aires?,Who was the mayor of Buenos Aires?,Where did the Olympic torch relay begin in Argentina?,11-Apr,the Lola Mora amphitheatre,Mauricio Macri,Buenos Aires
2,2," Australia: The event was held in Canberra, Australian Capital Territory on April 24, and covered around 16 km of Canberra's central areas, from Reconciliation Place to Commonwealth Park. Upon its arrival in Canberra, the Olympic flame was presented by Chinese officials to local Aboriginal elder Agnes Shea, of the Ngunnawal people. She, in turn, offered them a message stick, as a gift of peace and welcome. Hundreds of pro-Tibet protesters and thousands of Chinese students reportedly attended. Demonstrators and counter-demonstrators were kept apart by the Australian Federal Police. Preparations for the event were marred by a disagreement over the role of the Chinese flame attendants, with Australian and Chinese officials arguing publicly over their function and prerogatives during a press conference.",When did the torch arrive in Canberra?,Who received the flame from Chinese officials in Canberra?,What did Agnes Shea give to the Chinese in return?,Who publicly argued at a press conference?,24-Apr,Agnes Shea,a message stick,Australian and Chinese officials
3,3," Capacitors deviate from the ideal capacitor equation in a number of ways. Some of these, such as leakage current and parasitic effects are linear, or can be assumed to be linear, and can be dealt with by adding virtual components to the equivalent circuit of the capacitor. The usual methods of network analysis can then be applied. In other cases, such as with breakdown voltage, the effect is non-linear and normal (i.e., linear) network analysis cannot be used, the effect must be dealt with separately. There is yet another group, which may be linear but invalidate the assumption in the analysis that capacitance is a constant. Such an example is temperature dependence. Finally, combined parasitic effects such as inherent inductance, resistance, or dielectric losses can exhibit non-uniform behavior at variable frequencies of operation.",What characteristic can leakage current and parasitic effects be assumed to have in the equation for a realistic capacitor?,What sort of components can be added to the equivalent circuit of a capacitor in order to deal with leakage current and parasitic effects?,"Upon dealing with leakage current and parasitic effects in a realistic model of a capacitor, what sort of methods can then be applied?",What sort of analysis cannot be used in cases of voltage breakdown in modelling a capacitor?,can be assumed to be linear,virtual components,The usual methods of network analysis,"normal (i.e., linear) network analysis cannot be used"
4,4," China: In China, the torch was first welcomed by Politburo Standing Committee member Zhou Yongkang and State Councilor Liu Yandong. It was subsequently passed onto CPC General Secretary Hu Jintao. A call to boycott French hypermart Carrefour from May 1 began spreading through mobile text messaging and online chat rooms amongst the Chinese over the weekend from April 12, accusing the company's major shareholder, the LVMH Group, of donating funds to the Dalai Lama. There were also calls to extend the boycott to include French luxury goods and cosmetic products. According to the Washington Times on April 15, however, the Chinese government was attempting to ""calm the situation"" through censorship: ""All comments posted on popular Internet forum Sohu.com relating to a boycott of Carrefour have been deleted."" Chinese protesters organized boycotts of the French-owned retail chain Carrefour in major Chinese cities including Kunming, Hefei and Wuhan, accusing the French nation of pro-secessionist conspiracy and anti-Chinese racism. Some burned French flags, some added Nazism's Swastika to the French flag, and spread short online messages calling for large protests in front of French consulates and embassy. The Carrefour boycott was met with anti-boycott demonstrators who insisted on entering one of the Carrefour stores in Kunming, only to be blocked by boycotters wielding large Chinese flags and hit by water bottles. The BBC reported that hundreds of people demonstrated in Beijing, Wuhan, Hefei, Kunming and Qingdao.",Action was taken to boycott which company?,Who was the biggest shareholder of Carrefour?,What did some protesters burn?,Where were anti-protesters blocked from entering a Carrefour store with Chinese flags?,Carrefour,the LVMH Group,the French flag,Kunming
5,5," China: The torch returned to China for the first time since April. The torch arrived in Sanya, Hainan on May 4 with celebrations attended by International Olympic Committee (IOC) officials and Chinese big names like Jackie Chan. The entire relay through Mainland China was largely a success with many people welcoming the arrival of the torch along the way.","After its April departure, when did the torch return to China?",What actor attended a torch celebration in China?,"When did the torch reach Sanya, Hainan?",When was the last time the torch had been in China?,4-May,Jackie Chan,4-May,April.
6,6," France: The torch relay leg in Paris, held on April 7, began on the first level of the Eiffel Tower and finished at the Stade CharlÃ©ty. The relay was initially supposed to cover 28 km, but it was shortened at the demand of Chinese officials following widespread protests by pro-Tibet and human rights activists, who repeatedly attempted to disrupt, hinder or halt the procession. A scheduled ceremony at the town hall was cancelled at the request of the Chinese authorities, and, also at the request of Chinese authorities, the torch finished the relay by bus instead of being carried by athletes. Paris City officials had announced plans to greet the Olympic flame with peaceful protest when the torch was to reach the French capital. The city government attached a banner reading ""Paris defends human rights throughout the world"" to the City Hall, in an attempt to promote values ""of all humanity and of human rights."" Members from Reporters Without Borders turned out in large numbers to protest. An estimated 3,000 French police protected the Olympic torch relay as it departed from the Eiffel Tower and criss-crossed Paris amid threat of protests. Widespread pro-Tibet protests, including an attempt by more than one demonstrator to extinguish the flame with water or fire extinguishers, prompted relay authorities to put out the flame five times (according to the police authorities in Paris) and load the torch onto a bus, at the demand of Chinese officials. This was later denied by the Chinese Ministry of Foreign Affairs, despite video footage broadcast by French television network France 2 which showed Chinese flame attendants extinguishing the torch. Backup flames are with the relay at all times to relight the torch. French judoka and torchbearer David Douillet expressed his annoyance at the Chinese flame attendants who extinguished the torch which he was about to hand over to Teddy Riner: ""I understand they're afraid of everything, but this is just annoying. They extinguished the flame despite the fact that there was no risk, and they could see it and they knew it. I don't know why they did it.""",When did the torch relay in Paris occur?,Where did the Paris route start for the torch relay?,"Rather than being carried by an athlete, how did the torch end its route in Paris?",The flame of the torch was put out when David Douillet was ready to hand it to who?,7-Apr,the Eiffel Tower,by bus,Teddy Riner
7,7," Great Britain: The torch relay leg held in London, the host city of the 2012 Summer Olympics, on April 6 began at Wembley Stadium, passed through the City of London, and eventually ended at O2 Arena in the eastern part of the city. The 48 km (30 mi) leg took a total of seven and a half hours to complete, and attracted protests by pro-Tibetan independence and pro-Human Rights supporters, prompting changes to the planned route and an unscheduled move onto a bus, which was then briefly halted by protestors. Home Secretary Jacqui Smith has officially complained to Beijing Organising Committee about the conduct of the tracksuit-clad Chinese security guards. The Chinese officials, seen manhandling protesters, were described by both the London Mayor Ken Livingstone and Lord Coe, chairman of the London Olympic Committee as ""thugs"". A Metropolitan police briefing paper revealed that security for the torch relay cost Â£750,000 and the participation of the Chinese security team had been agreed in advance, despite the Mayor stating, ""We did not know beforehand these thugs were from the security services. Had I known so, we would have said no.""",Which city hosted the 2012 Summer Olympics?,When did the torch route begin in London?,How much did security cost for the torch relay in London?,What city held the Olympics in 2012?,London,6-Apr,"Â£750,000",London
8,8," Greece: On March 24, 2008, the Olympic Flame was ignited at Olympia, Greece, site of the ancient Olympic Games. The actress Maria Nafpliotou, in the role of a High Priestess, ignited the torch of the first torchbearer, a silver medalist of the 2004 Summer Olympics in taekwondo Alexandros Nikolaidis from Greece, who handed the flame over to the second torchbearer, Olympic champion in women's breaststroke Luo Xuejuan from China. Following the recent unrest in Tibet, three members of Reporters Without Borders, including Robert MÃ©nard, breached security and attempted to disrupt a speech by Liu Qi, the head of Beijing's Olympic organising committee during the torch lighting ceremony in Olympia, Greece. The People's Republic of China called this a ""disgraceful"" attempt to sabotage the Olympics. On March 30, 2008 in Athens, during ceremonies marking the handing over of the torch from Greek officials to organizers of the Beijing games, demonstrators shouted 'Free Tibet' and unfurled banners; some 10 of the 15 protesters were taken into police detention. After the hand-off, protests continued internationally, with particularly violent confrontations with police in Nepal.",On what date did the Olympic Flame get lit?,Where did the Olympic Flame get lit?,Who was the first person to carry the torch?,Who initially lit the Olympic Torch?,24-Mar-08,"Olympia, Greece.",Alexandros Nikolaidis,Maria Nafpliotou
9,9," Hong Kong: The event was held in Hong Kong on May 2. In the ceremony held at the Hong Kong Cultural Centre in Tsim Sha Tsui, Chief Executive Donald Tsang handed the torch to the first torchbearer, Olympic medalist Lee Lai Shan. The torch relay then traveled through Nathan Road, Lantau Link, Sha Tin (crossed Shing Mun River via a dragon boat, which had been never used before in the history of Olympic torch relays), Victoria Harbour (crossed by Tin Hau, a VIP vessel managed by the Marine Department) before ending in Golden Bauhinia Square in Wan Chai. A total of 120 torchbearers were selected to participate in the event consisting of celebrities, athletes and pro-Beijing camp politicians. No politicians from the pro-democracy camp were selected as torchbearers. One torchbearer could not participate due to flight delay. It was estimated that more than 200,000 spectators came out and watched the relay. Many enthusiastic supporters wore red shirts and waved large Chinese flags. According to Hong Kong Chief Secretary for Administration Henry Tang, 3,000 police were deployed to ensure order.",When did the torch arrive in Hong Kong?,Who was the first torchbearer in Hong Kong?,Where was the torch event started in Hong Kong?,Where did the torch relay end in Hong Kong?,2-May,Lee Lai Shan,Hong Kong Cultural Centre,Golden Bauhinia Square in Wan Chai
